warning_id,project,split,snippet_id,snippet_type,annotator_A,annotator_B,merged_relevance
commons-lang#0001,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0001,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0001,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0001,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0001,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0001,commons-lang,train,s06,caller,helpful,helpful,helpful
commons-lang#0001,commons-lang,train,s07,callee,helpful,helpful,helpful
commons-lang#0001,commons-lang,train,s08,callee,helpful,helpful,helpful
commons-lang#0001,commons-lang,train,s09,field_or_type_declaration,helpful,essential,essential
commons-lang#0001,commons-lang,train,s10,test,irrelevant,helpful,helpful
commons-lang#0002,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0002,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0002,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0002,commons-lang,train,s04,callee,helpful,helpful,helpful
commons-lang#0002,commons-lang,train,s05,field_or_type_declaration,helpful,irrelevant,helpful
commons-lang#0002,commons-lang,train,s06,test,irrelevant,helpful,helpful
commons-lang#0003,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0003,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0003,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0003,commons-lang,train,s04,callee,helpful,irrelevant,helpful
commons-lang#0003,commons-lang,train,s05,callee,helpful,helpful,helpful
commons-lang#0003,commons-lang,train,s06,field_or_type_declaration,helpful,irrelevant,helpful
commons-lang#0003,commons-lang,train,s07,annotation_or_contract,helpful,irrelevant,helpful
commons-lang#0004,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0004,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0004,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0004,commons-lang,train,s05,field_or_type_declaration,helpful,essential,essential
commons-lang#0004,commons-lang,train,s06,test,irrelevant,helpful,helpful
commons-lang#0004,commons-lang,train,s07,similar_code,helpful,irrelevant,helpful
commons-lang#0005,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0005,commons-lang,train,s02,enclosing_method,essential,essential,essential
commons-lang#0005,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0005,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0005,commons-lang,train,s05,caller,helpful,helpful,helpful
commons-lang#0005,commons-lang,train,s06,callee,helpful,helpful,helpful
commons-lang#0005,commons-lang,train,s08,field_or_type_declaration,essential,essential,essential
commons-lang#0005,commons-lang,train,s09,test,irrelevant,helpful,helpful
commons-lang#0005,commons-lang,train,s10,similar_code,helpful,irrelevant,helpful
commons-lang#0006,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0006,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0006,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0006,commons-lang,train,s04,caller,helpful,helpful,helpful
commons-lang#0006,commons-lang,train,s05,callee,helpful,helpful,helpful
commons-lang#0006,commons-lang,train,s06,field_or_type_declaration,essential,essential,essential
commons-lang#0006,commons-lang,train,s07,test,irrelevant,helpful,helpful
commons-lang#0007,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0007,commons-lang,train,s02,enclosing_method,essential,helpful,essential
commons-lang#0007,commons-lang,train,s03,enclosing_class,helpful,helpful,helpful
commons-lang#0007,commons-lang,train,s04,callee,helpful,essential,essential
commons-lang#0007,commons-lang,train,s05,field_or_type_declaration,helpful,essential,helpful
commons-lang#0007,commons-lang,train,s06,test,irrelevant,helpful,helpful
commons-lang#0007,commons-lang,train,s07,similar_code,helpful,helpful,helpful
commons-lang#0008,commons-lang,train,s01,warning_line,essential,essential,essential
commons-lang#0008,commons-lang,train,s02,enclosing_method,essential,helpful,essential
