warning_id,rule_id,tp_r3,rrf3way_r3,delta
commons-collections#0005,CT_CONSTRUCTOR_THROW,1.0,0.333,-0.667
commons-compress#0003,URF_UNREAD_FIELD,1.0,0.333,-0.667
commons-compress#0008,EI_EXPOSE_REP2,1.0,0.333,-0.667
commons-compress#0014,LI_LAZY_INIT_UPDATE_STATIC,1.0,0.333,-0.667
jackson-databind#0008,HE_EQUALS_NO_HASHCODE,1.0,0.333,-0.667
jackson-databind#0013,HE_EQUALS_NO_HASHCODE,1.0,0.333,-0.667
commons-jexl#0012,SIC_INNER_SHOULD_BE_STATIC_ANON,1.0,0.333,-0.667
lettuce-core#0004,EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS,1.0,0.333,-0.667
lettuce-core#0006,CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,1.0,0.333,-0.667
lettuce-core#0007,EQ_COMPARETO_USE_OBJECT_EQUALS,1.0,0.333,-0.667
lettuce-core#0010,URF_UNREAD_FIELD,1.0,0.333,-0.667
lettuce-core#0018,CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,1.0,0.333,-0.667
commons-bcel#0003,CT_CONSTRUCTOR_THROW,1.0,0.333,-0.667
jsoup#0003,IT_NO_SUCH_ELEMENT,1.0,0.5,-0.5
commons-compress#0024,AT_STALE_THREAD_WRITE_OF_PRIMITIVE,1.0,0.5,-0.5
commons-collections#0001,SE_INNER_CLASS,1.0,0.667,-0.333
commons-collections#0002,SING_SINGLETON_IMPLEMENTS_SERIALIZABLE,1.0,0.667,-0.333
commons-collections#0006,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,1.0,0.667,-0.333
commons-collections#0007,NP_BOOLEAN_RETURN_NULL,1.0,0.667,-0.333
commons-compress#0004,HE_HASHCODE_NO_EQUALS,0.667,0.333,-0.333
commons-compress#0007,AT_NONATOMIC_OPERATIONS_ON_SHARED_VARIABLE,1.0,0.667,-0.333
commons-compress#0009,URF_UNREAD_FIELD,1.0,0.667,-0.333
commons-compress#0010,SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,1.0,0.667,-0.333
commons-compress#0013,EQ_COMPARETO_USE_OBJECT_EQUALS,1.0,0.667,-0.333
commons-compress#0018,CT_CONSTRUCTOR_THROW,1.0,0.667,-0.333
commons-compress#0019,MS_FINAL_PKGPROTECT,1.0,0.667,-0.333
commons-compress#0022,NM_CONFUSING,1.0,0.667,-0.333
jackson-databind#0001,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,1.0,0.667,-0.333
jackson-databind#0003,ES_COMPARING_STRINGS_WITH_EQ,1.0,0.667,-0.333
jackson-databind#0006,UR_UNINIT_READ,1.0,0.667,-0.333
jackson-databind#0010,SING_SINGLETON_HAS_NONPRIVATE_CONSTRUCTOR,1.0,0.667,-0.333
jackson-databind#0012,EI_EXPOSE_REP2,0.667,0.333,-0.333
commons-jexl#0007,NP_BOOLEAN_RETURN_NULL,1.0,0.667,-0.333
commons-jexl#0010,EI_EXPOSE_REP2,1.0,0.667,-0.333
lettuce-core#0001,CWO_CLOSED_WITHOUT_OPENED,1.0,0.667,-0.333
lettuce-core#0005,EI_EXPOSE_REP,0.667,0.333,-0.333
lettuce-core#0008,SS_SHOULD_BE_STATIC,1.0,0.667,-0.333
lettuce-core#0009,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,1.0,0.667,-0.333
lettuce-core#0017,EI_EXPOSE_REP2,1.0,0.667,-0.333
commons-bcel#0001,SIC_INNER_SHOULD_BE_STATIC_ANON,1.0,0.667,-0.333
commons-bcel#0002,NM_SAME_SIMPLE_NAME_AS_SUPERCLASS,1.0,0.667,-0.333
commons-bcel#0005,MS_MUTABLE_ARRAY,1.0,0.667,-0.333
commons-bcel#0006,EI_EXPOSE_REP,1.0,0.667,-0.333
