method,recall@3,ndcg@5,non_local_recovery@3
rrf_bm25_emb,0.48701298701298684,0.8484840399265371,0.359375
rrf_bm25_emb_tp,0.670995670995671,0.9204108745075867,0.3125
convex_0.3,0.5064935064935064,0.8517938116415583,0.390625
convex_0.5,0.487012987012987,0.8370313621153121,0.375
convex_0.7,0.48268398268398266,0.8300730275761979,0.390625
tp_bm25_rerank,0.8961038961038961,0.9894559570978116,0.625
bm25,0.4805194805194805,0.8333900126406847,0.359375
embedding,0.48917748917748916,0.857370147500564,0.375
type_priority,0.8917748917748919,0.9902678181493209,0.609375
local_first,0.7922077922077917,0.9614054590967783,0.25
