ratio,n_inject_avg,method,recall@3,non_local_recovery@3
0.0,0.0,local_first,0.7922,0.25
0.0,0.0,bm25,0.4805,0.3594
0.0,0.0,embedding,0.4892,0.375
0.0,0.0,type_priority,0.8918,0.6094
0.25,1.85,local_first,0.7922,0.25
0.25,1.85,bm25,0.4177,0.3125
0.25,1.85,embedding,0.4697,0.3438
0.25,1.85,type_priority,0.8528,0.4688
0.5,3.69,local_first,0.7922,0.25
0.5,3.69,bm25,0.3615,0.2812
0.5,3.69,embedding,0.4632,0.3438
0.5,3.69,type_priority,0.8442,0.4375
1.0,7.39,local_first,0.7922,0.25
1.0,7.39,bm25,0.3247,0.2656
1.0,7.39,embedding,0.4545,0.3438
1.0,7.39,type_priority,0.8442,0.4375
