kind,method,other_method,metric,mean,ci_low,ci_high
method,bm25,,recall@3,0.4805,0.4242,0.5368
method,bm25,,ndcg@5,0.8334,0.8112,0.8552
method,bm25,,non_local_recovery@3,0.3594,0.2456,0.4783
method,embedding_all-MiniLM-L6-v2,,recall@3,0.4892,0.4329,0.5433
method,embedding_all-MiniLM-L6-v2,,ndcg@5,0.8574,0.8366,0.8777
method,embedding_all-MiniLM-L6-v2,,non_local_recovery@3,0.3750,0.2576,0.4925
method,local_first,,recall@3,0.7922,0.7576,0.8268
method,local_first,,ndcg@5,0.9614,0.9515,0.9709
method,local_first,,non_local_recovery@3,0.2500,0.1475,0.3607
method,type_priority,,recall@3,0.8918,0.8571,0.9264
method,type_priority,,ndcg@5,0.9903,0.9849,0.9947
method,type_priority,,non_local_recovery@3,0.6094,0.4853,0.7273
diff,type_priority,local_first,recall@3,0.0996,0.0433,0.1558
diff,type_priority,local_first,ndcg@5,0.0289,0.0172,0.0407
diff,type_priority,local_first,non_local_recovery@3,0.3594,0.1552,0.5593
diff,type_priority,bm25,recall@3,0.4113,0.3355,0.4848
diff,type_priority,bm25,ndcg@5,0.1569,0.1331,0.1808
diff,type_priority,bm25,non_local_recovery@3,0.2500,0.0364,0.4516
diff,type_priority,embedding_all-MiniLM-L6-v2,recall@3,0.4026,0.3312,0.4719
diff,type_priority,embedding_all-MiniLM-L6-v2,ndcg@5,0.1329,0.1113,0.1550
diff,type_priority,embedding_all-MiniLM-L6-v2,non_local_recovery@3,0.2344,0.0435,0.4265
