project,method,n,recall@3,mrr,ndcg@5,non_local_recovery@3
HikariCP,local_first,4,0.667,1.000,0.921,0.000
HikariCP,bm25,4,0.333,0.354,0.787,0.250
HikariCP,embedding_all-MiniLM-L6-v2,4,0.417,0.383,0.797,0.500
HikariCP,type_priority,4,1.000,1.000,1.000,1.000
commons-bcel,local_first,8,0.750,1.000,0.956,0.250
commons-bcel,bm25,8,0.542,0.729,0.854,0.250
commons-bcel,embedding_all-MiniLM-L6-v2,8,0.417,0.615,0.871,0.375
commons-bcel,type_priority,8,0.875,1.000,0.973,0.625
commons-beanutils,local_first,33,0.667,1.000,0.935,0.000
commons-beanutils,bm25,33,0.232,0.311,0.712,0.061
commons-beanutils,embedding_all-MiniLM-L6-v2,33,0.313,0.478,0.756,0.182
commons-beanutils,type_priority,33,0.848,1.000,0.975,0.545
commons-cli,local_first,10,0.667,1.000,0.943,0.000
commons-cli,bm25,10,0.167,0.258,0.670,0.100
commons-cli,embedding_all-MiniLM-L6-v2,10,0.267,0.570,0.755,0.300
commons-cli,type_priority,10,1.000,1.000,1.000,1.000
commons-codec,local_first,7,0.762,1.000,0.977,0.286
commons-codec,bm25,7,0.381,0.381,0.785,0.429
commons-codec,embedding_all-MiniLM-L6-v2,7,0.429,0.624,0.826,0.429
commons-codec,type_priority,7,0.810,1.000,0.979,0.429
commons-collections,local_first,7,0.762,1.000,0.976,0.286
commons-collections,bm25,7,0.476,0.560,0.833,0.286
commons-collections,embedding_all-MiniLM-L6-v2,7,0.619,0.786,0.898,0.571
commons-collections,type_priority,7,0.905,1.000,0.995,0.714
commons-compress,local_first,20,0.783,1.000,0.955,0.278
commons-compress,bm25,20,0.392,0.495,0.808,0.389
commons-compress,embedding_all-MiniLM-L6-v2,20,0.417,0.702,0.859,0.389
commons-compress,type_priority,20,0.900,1.000,0.987,0.667
commons-configuration,local_first,38,0.754,1.000,0.944,0.200
commons-configuration,bm25,38,0.294,0.362,0.763,0.257
commons-configuration,embedding_all-MiniLM-L6-v2,38,0.408,0.549,0.789,0.343
commons-configuration,type_priority,38,0.921,1.000,0.996,0.743
commons-crypto,local_first,5,0.800,1.000,0.971,0.250
commons-crypto,bm25,5,0.300,0.483,0.815,0.000
commons-crypto,embedding_all-MiniLM-L6-v2,5,0.600,0.533,0.833,0.250
commons-crypto,type_priority,5,0.800,1.000,0.973,0.250
commons-csv,local_first,1,0.667,1.000,0.902,0.000
commons-csv,bm25,1,0.667,0.500,0.803,0.000
commons-csv,embedding_all-MiniLM-L6-v2,1,0.667,1.000,0.902,0.000
commons-csv,type_priority,1,1.000,1.000,1.000,1.000
commons-daemon,local_first,2,0.833,1.000,0.951,0.000
commons-daemon,bm25,2,0.583,0.417,0.825,0.000
commons-daemon,embedding_all-MiniLM-L6-v2,2,0.417,0.417,0.814,1.000
commons-daemon,type_priority,2,0.833,1.000,0.951,0.000
commons-dbcp,local_first,5,0.933,1.000,0.980,0.500
commons-dbcp,bm25,5,0.400,0.650,0.866,1.000
commons-dbcp,embedding_all-MiniLM-L6-v2,5,0.633,0.529,0.843,1.000
commons-dbcp,type_priority,5,0.933,1.000,0.997,0.500
commons-dbutils,local_first,11,0.667,1.000,0.959,0.000
commons-dbutils,bm25,11,0.303,0.341,0.769,0.182
commons-dbutils,embedding_all-MiniLM-L6-v2,11,0.394,0.455,0.797,0.273
commons-dbutils,type_priority,11,1.000,1.000,1.000,1.000
commons-exec,local_first,8,0.667,1.000,0.942,0.000
commons-exec,bm25,8,0.333,0.635,0.816,0.375
commons-exec,embedding_all-MiniLM-L6-v2,8,0.458,0.646,0.824,0.375
commons-exec,type_priority,8,0.875,1.000,0.993,0.625
commons-imaging,local_first,18,0.759,1.000,0.946,0.188
commons-imaging,bm25,18,0.417,0.581,0.834,0.500
commons-imaging,embedding_all-MiniLM-L6-v2,18,0.472,0.519,0.816,0.500
commons-imaging,type_priority,18,0.963,1.000,0.998,0.875
commons-io,local_first,10,0.800,1.000,0.974,0.000
commons-io,bm25,10,0.400,0.362,0.811,0.333
commons-io,embedding_all-MiniLM-L6-v2,10,0.583,0.670,0.863,0.500
commons-io,type_priority,10,0.833,1.000,0.975,0.167
commons-jexl,local_first,7,0.857,1.000,0.980,0.400
commons-jexl,bm25,7,0.619,0.690,0.866,0.600
commons-jexl,embedding_all-MiniLM-L6-v2,7,0.619,0.857,0.899,0.800
commons-jexl,type_priority,7,0.952,1.000,0.997,0.800
commons-lang,local_first,36,0.787,1.000,0.961,0.233
commons-lang,bm25,36,0.352,0.424,0.782,0.567
commons-lang,embedding_all-MiniLM-L6-v2,36,0.551,0.627,0.839,0.467
commons-lang,type_priority,36,0.926,1.000,0.994,0.733
commons-net,local_first,28,0.821,1.000,0.962,0.167
commons-net,bm25,28,0.482,0.479,0.819,0.222
commons-net,embedding_all-MiniLM-L6-v2,28,0.476,0.680,0.848,0.222
commons-net,type_priority,28,0.893,1.000,0.989,0.500
commons-ognl,local_first,8,0.750,1.000,0.947,0.143
commons-ognl,bm25,8,0.438,0.479,0.813,0.286
commons-ognl,embedding_all-MiniLM-L6-v2,8,0.292,0.510,0.768,0.143
commons-ognl,type_priority,8,0.917,1.000,0.996,0.714
commons-pool,local_first,2,0.833,1.000,0.993,0.000
commons-pool,bm25,2,0.417,0.667,0.888,0.000
commons-pool,embedding_all-MiniLM-L6-v2,2,0.333,0.625,0.820,0.000
commons-pool,type_priority,2,1.000,1.000,1.000,1.000
commons-scxml,local_first,52,0.750,1.000,0.964,0.114
commons-scxml,bm25,52,0.426,0.522,0.812,0.227
commons-scxml,embedding_all-MiniLM-L6-v2,52,0.458,0.581,0.841,0.273
commons-scxml,type_priority,52,0.910,1.000,0.996,0.682
commons-text,local_first,1,0.667,1.000,0.902,0.000
commons-text,bm25,1,0.000,0.167,0.580,0.000
commons-text,embedding_all-MiniLM-L6-v2,1,0.000,0.250,0.741,0.000
commons-text,type_priority,1,1.000,1.000,1.000,1.000
commons-validator,local_first,4,0.917,1.000,0.975,0.000
commons-validator,bm25,4,0.458,0.327,0.765,0.000
commons-validator,embedding_all-MiniLM-L6-v2,4,0.458,0.500,0.783,0.000
commons-validator,type_priority,4,1.000,1.000,1.000,1.000
jackson-annotations,local_first,1,1.000,1.000,1.000,1.000
jackson-annotations,bm25,1,0.667,0.500,0.803,1.000
jackson-annotations,embedding_all-MiniLM-L6-v2,1,0.667,0.500,0.803,1.000
jackson-annotations,type_priority,1,1.000,1.000,1.000,1.000
jackson-core,local_first,12,0.778,1.000,0.977,0.111
jackson-core,bm25,12,0.542,0.549,0.847,0.333
