variant,method,recall@1,recall@3,recall@5,mrr,ndcg@5,non_local_recovery@3,warnings_with_essential,essential_labels
current_merge,bm25,0.0974,0.4805,0.7944,0.5640,0.8334,0.3594,77,218
A_only,bm25,0.0779,0.5108,0.8701,0.4732,0.7765,0.0000,77,159
B_only,bm25,0.0996,0.4805,0.7468,0.5421,0.7744,0.3438,77,192
strict_agreement_essential,bm25,0.0779,0.5281,0.8398,0.4392,0.8474,0.0000,77,126
lower_bound_disagreement,bm25,0.0779,0.5281,0.8398,0.4392,0.7297,0.0000,77,126
useful_binary,bm25,0.1413,0.4250,0.7105,0.9935,0.9928,0.3944,77,567
current_merge,embedding_all-MiniLM-L6-v2,0.1623,0.4892,0.7987,0.6762,0.8574,0.3750,77,218
A_only,embedding_all-MiniLM-L6-v2,0.1667,0.5325,0.8485,0.5896,0.8349,0.4000,77,159
B_only,embedding_all-MiniLM-L6-v2,0.1494,0.4654,0.7554,0.5971,0.7747,0.3672,77,192
strict_agreement_essential,embedding_all-MiniLM-L6-v2,0.1407,0.4978,0.7922,0.4877,0.8577,0.4000,77,126
lower_bound_disagreement,embedding_all-MiniLM-L6-v2,0.1407,0.4978,0.7922,0.4877,0.7611,0.4000,77,126
useful_binary,embedding_all-MiniLM-L6-v2,0.1428,0.4283,0.7138,1.0000,1.0000,0.3915,77,567
current_merge,local_first,0.3615,0.7922,0.8874,1.0000,0.9614,0.2500,77,218
A_only,local_first,0.4892,0.9784,0.9827,1.0000,0.9924,0.0000,77,159
B_only,local_first,0.4048,0.7208,0.8550,0.9805,0.9056,0.2344,77,192
strict_agreement_essential,local_first,0.6515,0.9719,0.9784,0.9805,0.9895,0.0000,77,126
lower_bound_disagreement,local_first,0.6515,0.9719,0.9784,0.9805,0.9612,0.0000,77,126
useful_binary,local_first,0.1428,0.4283,0.7138,1.0000,1.0000,0.2059,77,567
current_merge,type_priority,0.3615,0.8918,0.9827,1.0000,0.9903,0.6094,77,218
A_only,type_priority,0.4892,1.0000,1.0000,1.0000,0.9978,1.0000,77,159
B_only,type_priority,0.2879,0.8658,0.9827,0.8701,0.9122,0.6406,77,192
strict_agreement_essential,type_priority,0.4437,1.0000,1.0000,0.8701,0.9749,1.0000,77,126
lower_bound_disagreement,type_priority,0.4437,1.0000,1.0000,0.8701,0.9347,1.0000,77,126
useful_binary,type_priority,0.1428,0.4283,0.7138,1.0000,1.0000,0.2059,77,567
