method,condition,num_warnings_eval,avg_tokens@3,avg_tokens_full_context,avg_tokens_local_only,coverage@1,coverage@3,coverage@5,coverage@7,distractor@3,mrr,ndcg@5,non_local_recovery@3,recall@1,recall@3,recall@5,token_norm_utility@3
random,full_candidates,77,1389.4805194805194,2123.896103896104,1493.8831168831168,0.1413213770356626,0.42685013399299115,0.7105236033807468,0.9021129663986808,0.004329004329004329,0.6376623376623378,0.8207022608091703,0.40625,0.14718614718614725,0.4155844155844155,0.6948051948051945,53.164425275588826
local_first,full_candidates,77,1991.6883116883116,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7138218923933215,0.9054112554112554,0.0,1.0,0.9614054590967783,0.25,0.36147186147186117,0.7922077922077917,0.8874458874458871,12.134837214242769
bm25,full_candidates,77,2010.5324675324675,2123.896103896104,1493.8831168831168,0.1413213770356626,0.42499484642341784,0.7105236033807468,0.9021129663986808,0.008658008658008658,0.5639764996907854,0.8333900126406847,0.359375,0.09740259740259738,0.4805194805194805,0.7943722943722942,13.251044678087823
embedding_all-MiniLM-L6-v2,full_candidates,77,1422.6753246753246,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7138218923933215,0.9054112554112554,0.0,0.6761904761904763,0.857370147500564,0.375,0.16233766233766236,0.48917748917748916,0.7987012987012985,26.816584938133044
type_priority,full_candidates,77,1507.051948051948,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7138218923933215,0.9054112554112554,0.0,1.0,0.9902678181493209,0.609375,0.36147186147186117,0.8917748917748919,0.9826839826839827,93.49122575137147
random,remove_warning_line_and_method,64,415.25,616.0625,0.0,0.14113343253968247,0.42612847222222217,0.6149429563492065,0.6990327380952381,0.010416666666666666,0.41785714285714276,0.6392847544323725,0.625,0.046875,0.20833333333333343,0.30729166666666663,41.39762884015416
local_first,remove_warning_line_and_method,64,535.625,616.0625,0.0,0.14336557539682532,0.4300967261904761,0.6189112103174605,0.6990327380952381,0.0,0.4699962797619046,0.6494407728414299,0.59375,0.08333333333333331,0.19791666666666674,0.296875,9.998417369189813
bm25,remove_warning_line_and_method,64,561.8125,616.0625,0.0,0.1416294642857142,0.42612847222222217,0.6149429563492065,0.6990327380952381,0.010416666666666666,0.40898437499999984,0.6300032458148151,0.53125,0.052083333333333336,0.17708333333333337,0.2708333333333334,11.3201310328929
embedding_all-MiniLM-L6-v2,remove_warning_line_and_method,64,491.203125,616.0625,0.0,0.14336557539682532,0.4300967261904761,0.6189112103174605,0.6990327380952381,0.0,0.4664806547619047,0.6466563887043767,0.65625,0.06770833333333333,0.2187500000000001,0.28645833333333337,21.685061441176828
type_priority,remove_warning_line_and_method,64,308.34375,616.0625,0.0,0.14336557539682532,0.4300967261904761,0.6189112103174605,0.6990327380952381,0.0,0.7666666666666668,0.7013365856384084,0.9375,0.20312500000000008,0.31249999999999994,0.3333333333333332,77.46316240421646
random,nonlocal_targets_only,77,,,,,,,,,0.42863343253968245,0.49040061060523665,,0.203125,0.5,0.78125,
local_first,nonlocal_targets_only,77,,,,,,,,,0.21687748015873007,0.26414336744858724,,0.0,0.25,0.59375,
bm25,nonlocal_targets_only,77,,,,,,,,,0.33935391865079356,0.3423163901661769,,0.140625,0.359375,0.546875,
embedding_all-MiniLM-L6-v2,nonlocal_targets_only,77,,,,,,,,,0.36527777777777776,0.40437035351961437,,0.15625,0.375,0.671875,
type_priority,nonlocal_targets_only,77,,,,,,,,,0.28857886904761904,0.4405252767629757,,0.0,0.609375,0.9375,
random,force_one_nonlocal_top3,77,508.72727272727275,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7119666048237482,0.9035559678416822,0.0,0.6070500927643786,0.8182828176631255,0.828125,0.11904761904761904,0.4242424242424243,0.6861471861471858,49.45060575842657
local_first,force_one_nonlocal_top3,77,1134.6103896103896,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7138218923933215,0.9054112554112554,0.0,1.0,0.9614054590967783,1.0,0.36147186147186117,0.7922077922077917,0.8874458874458871,13.060840882074435
bm25,force_one_nonlocal_top3,77,1430.2987012987012,2123.896103896104,1493.8831168831168,0.1413213770356626,0.42499484642341784,0.7105236033807468,0.9021129663986808,0.008658008658008658,0.5639764996907854,0.8333900126406847,0.921875,0.09740259740259738,0.4805194805194805,0.7943722943722942,15.890636866810029
embedding_all-MiniLM-L6-v2,force_one_nonlocal_top3,77,916.2987012987013,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7138218923933215,0.9054112554112554,0.0,0.6761904761904763,0.857370147500564,0.953125,0.16233766233766236,0.48917748917748916,0.7987012987012985,26.229142356429307
type_priority,force_one_nonlocal_top3,77,1449.2207792207791,2123.896103896104,1493.8831168831168,0.14276437847866408,0.42829313543599257,0.7138218923933215,0.9054112554112554,0.0,1.0,0.9902678181493209,1.0,0.36147186147186117,0.8917748917748919,0.9826839826839827,91.98913709369526
