category,method,warnings,recall@3,ndcg@5,non_local_recovery@3,avg_tokens@3
Bad practice,bm25,15,0.3777777777777778,0.7992916332672141,0.35714285714285715,1267.0
Correctness,bm25,6,0.5555555555555555,0.8709428965689856,0.6,3840.1666666666665
Dodgy code,bm25,3,0.5,0.9214292592920857,0.5,12122.333333333334
Equality/hash-code,bm25,8,0.3333333333333333,0.7658315473785109,0.125,423.75
Multithreaded correctness,bm25,12,0.48611111111111116,0.80520530552729,0.25,620.3333333333334
Nullness,bm25,7,0.5714285714285714,0.8795347143203086,0.5714285714285714,666.4285714285714
Performance,bm25,13,0.6025641025641025,0.8684302854659602,0.4166666666666667,683.2307692307693
Resource management,bm25,1,0.3333333333333333,0.9382995875816248,0.0,1327.0
Security,bm25,12,0.4861111111111111,0.8348299143997934,0.2727272727272727,4224.166666666667
Bad practice,embedding_all-MiniLM-L6-v2,15,0.3888888888888888,0.8225623600033304,0.42857142857142855,1073.7333333333333
Correctness,embedding_all-MiniLM-L6-v2,6,0.611111111111111,0.9115691911865792,0.4,3821.1666666666665
Dodgy code,embedding_all-MiniLM-L6-v2,3,0.4444444444444444,0.8988816482822329,0.5,529.3333333333334
Equality/hash-code,embedding_all-MiniLM-L6-v2,8,0.375,0.7966372729306547,0.125,333.875
Multithreaded correctness,embedding_all-MiniLM-L6-v2,12,0.5416666666666666,0.872782252916505,0.25,418.8333333333333
Nullness,embedding_all-MiniLM-L6-v2,7,0.6666666666666666,0.9132916773171732,0.5714285714285714,476.0
Performance,embedding_all-MiniLM-L6-v2,13,0.4487179487179488,0.8509714624656551,0.4166666666666667,686.6923076923077
Resource management,embedding_all-MiniLM-L6-v2,1,0.6666666666666666,0.8792872118748392,0.0,1163.0
Security,embedding_all-MiniLM-L6-v2,12,0.513888888888889,0.8609635568279509,0.36363636363636365,3983.8333333333335
Bad practice,local_first,15,0.7555555555555554,0.9492728834585269,0.21428571428571427,1296.4666666666667
Correctness,local_first,6,0.7777777777777777,0.9738939123243505,0.2,3789.5
Dodgy code,local_first,3,0.8888888888888888,0.9954506704338261,0.5,12084.0
Equality/hash-code,local_first,8,0.7083333333333334,0.9329079133831052,0.125,441.5
Multithreaded correctness,local_first,12,0.888888888888889,0.9742534078847199,0.0,544.0
Nullness,local_first,7,0.8571428571428571,0.9916857875487212,0.5714285714285714,573.8571428571429
Performance,local_first,13,0.7948717948717948,0.9511404821669149,0.3333333333333333,701.4615384615385
Resource management,local_first,1,0.6666666666666666,0.9777242507697853,0.0,1163.0
Security,local_first,12,0.75,0.9600630316553517,0.18181818181818182,4213.75
Bad practice,type_priority,15,0.9111111111111111,0.9952101682761684,0.7142857142857143,803.3333333333334
Correctness,type_priority,6,0.9444444444444443,0.997725335216913,0.8,3285.5
Dodgy code,type_priority,3,0.8888888888888888,0.992574750256595,0.5,11423.666666666666
Equality/hash-code,type_priority,8,0.875,0.9927250641051311,0.625,59.25
Multithreaded correctness,type_priority,12,0.9722222222222223,0.9988626676084564,0.75,56.75
Nullness,type_priority,7,0.8095238095238095,0.9922011493151304,0.42857142857142855,79.57142857142857
Performance,type_priority,13,0.8461538461538461,0.9669483158839599,0.5,274.53846153846155
Resource management,type_priority,1,0.6666666666666666,0.9777242507697853,0.0,501.0
Security,type_priority,12,0.888888888888889,0.9947316903895184,0.6363636363636364,3685.5833333333335
