split,condition_or_method,warnings,mean_tokens,median_tokens,p95_tokens,min_tokens,max_tokens
train,full_context,249,897.0923694779117,838.0,1439.0,146.0,4550.0
train,local_only,249,142.99196787148594,37.0,421.0,14.0,4027.0
validation,full_context,77,812.961038961039,734.0,1313.0,175.0,3001.0
validation,local_only,77,120.11688311688312,45.0,408.0,16.0,2105.0
test,full_context,77,2123.896103896104,719.0,3955.0,139.0,40760.0
test,local_only,77,1493.8831168831168,46.0,3060.0,18.0,39949.0
test,bm25,77,2010.5324675324675,639.0,3905.0,34.0,40688.0
test,embedding_all-MiniLM-L6-v2,77,1422.6753246753246,508.0,2809.0,26.0,40131.0
test,local_first,77,1991.6883116883116,598.0,3891.0,78.0,40560.0
test,type_priority,77,1507.051948051948,66.0,3075.0,26.0,39967.0
